zip,description,timestamp,lng,lat,place,city
48473,4 individuals Weekly,7/8/2020 11:22:10,-83.84,42.96,"Swartz Creek, Michigan 48473, United States","Swartz Creek, Michigan"
48083,10 individuals Every week (used to be every month),7/9/2020 6:52:20,-83.11,42.54,"Troy, Michigan 48083, United States","Troy, Michigan"
49001,"3 individuals Weekly, 8:00am Sunday",7/9/2020 16:16:58,-85.56,42.25,"Kalamazoo, Michigan 49001, United States","Kalamazoo, Michigan"
45431,1 individuals Weekly,7/9/2020 22:55:02,-84.05,39.77,"Dayton, Ohio 45431, United States","Dayton, Ohio"
48235,10 individuals monthly,7/10/2020 23:19:21,-83.18,42.42,"Detroit, Michigan 48235, United States","Detroit, Michigan"
46635,5 individuals Weekly,7/12/2020 13:13:13,-86.21,41.7,"South Bend, Indiana 46635, United States","South Bend, Indiana"
49684,4 individuals weekly,7/13/2020 14:10:51,-85.62,44.76,"Traverse City, Michigan 49684, United States","Traverse City, Michigan"
46514,2 individuals twice a week,7/14/2020 13:44:42,-86,41.68,"Elkhart, Indiana 46514, United States","Elkhart, Indiana"
43081,2 individuals Daily,7/14/2020 19:43:56,-82.94,40.13,"Westerville, Ohio 43081, United States","Westerville, Ohio"
49507,2 individuals Daily,7/15/2020 11:41:28,-85.64,42.94,"Grand Rapids, Michigan 49507, United States","Grand Rapids, Michigan"
47401,8 individuals weekly,7/17/2020 17:23:20,-86.5,39.16,"Bloomington, Indiana 47401, United States","Bloomington, Indiana"
49007,8 individuals Weekly,7/17/2020 20:25:40,-85.58,42.29,"Kalamazoo, Michigan 49007, United States","Kalamazoo, Michigan"
46615,10 individuals Monthly,7/18/2020 14:11:03,-86.22,41.67,"South Bend, Indiana 46615, United States","South Bend, Indiana"
48104,4 individuals Weekly,7/19/2020 20:00:06,-83.74,42.28,"Ann Arbor, Michigan 48104, United States","Ann Arbor, Michigan"
45387,12 individuals Weekly,7/20/2020 23:29:43,-83.89,39.81,"Yellow Springs, Ohio 45387, United States","Yellow Springs, Ohio"
45458,24 individuals each Gregorian month,7/21/2020 10:21:43,-84.22,39.63,"Dayton, Ohio 45458, United States","Dayton, Ohio"
49855,2 individuals Weekly,7/24/2020 7:20:28,-87.41,46.56,"Marquette, Michigan 49855, United States","Marquette, Michigan"
45387,2 individuals Weekly,7/24/2020 13:16:59,-83.89,39.81,"Yellow Springs, Ohio 45387, United States","Yellow Springs, Ohio"
45387,12 individuals monthly,7/24/2020 13:22:40,-83.89,39.81,"Yellow Springs, Ohio 45387, United States","Yellow Springs, Ohio"
45387,2 individuals 1-2 times monthly,7/25/2020 17:30:47,-83.89,39.81,"Yellow Springs, Ohio 45387, United States","Yellow Springs, Ohio"
45434,4 individuals every other week,7/26/2020 22:53:21,-84.03,39.72,"Dayton, Ohio 45434, United States","Dayton, Ohio"
43078,5 individuals monthly,7/29/2020 11:05:08,-83.75,40.11,"Urbana, Ohio 43078, United States","Urbana, Ohio"
43072,5 individuals monthly,7/29/2020 11:08:25,-83.96,40.13,"Saint Paris, Ohio 43072, United States","Saint Paris, Ohio"
43078,5 individuals monthly,7/29/2020 11:11:05,-83.75,40.11,"Urbana, Ohio 43078, United States","Urbana, Ohio"
44870,12 individuals weekly,7/31/2020 21:29:40,-82.68,41.48,"Sandusky, Ohio 44870, United States","Sandusky, Ohio"
44839,2 individuals Daily,7/31/2020 21:38:53,-82.64,41.38,"Huron, Ohio 44839, United States","Huron, Ohio"
48111,4 individuals every week,8/1/2020 20:03:10,-83.49,42.22,"Belleville, Michigan 48111, United States","Belleville, Michigan"
46835,7 individuals weekly,8/2/2020 10:35:23,-85.1,41.13,"Fort Wayne, Indiana 46835, United States","Fort Wayne, Indiana"
43560,8 individuals Monthly,8/2/2020 22:53:05,-83.7,41.7,"Sylvania, Ohio 43560, United States","Sylvania, Ohio"
43560,3 individuals Weekly,8/3/2020 12:26:05,-83.7,41.7,"Sylvania, Ohio 43560, United States","Sylvania, Ohio"
43560,4 individuals Every other week,8/3/2020 12:28:54,-83.7,41.7,"Sylvania, Ohio 43560, United States","Sylvania, Ohio"
49546,30 individuals Monthly,8/8/2020 14:03:08,-85.58,42.92,"Grand Rapids, Michigan 49546, United States","Grand Rapids, Michigan"
45387,4 individuals 4 Days a week,8/23/2020 7:06:39,-83.89,39.81,"Yellow Springs, Ohio 45387, United States","Yellow Springs, Ohio"
48197,2 individuals Weekly,8/26/2020 18:07:12,-83.62,42.25,"Ypsilanti, Michigan 48197, United States","Ypsilanti, Michigan"
44060,8 individuals every other week,8/28/2020 15:16:35,-81.36,41.66,"Mentor, Ohio 44060, United States","Mentor, Ohio"
44118,2 individuals Daily,9/1/2020 20:31:40,-81.53,41.49,"Cleveland, Ohio 44118, United States","Cleveland, Ohio"
44110,12 individuals Monthly,9/13/2020 15:53:10,-81.57,41.57,"Cleveland, Ohio 44110, United States","Cleveland, Ohio"
46814,20 individuals Weekly,9/14/2020 21:50:09,-85.28,41.07,"Fort Wayne, Indiana 46814, United States","Fort Wayne, Indiana"
44023,25 individuals Every other week,9/20/2020 18:50:49,-81.39,41.36,"Chagrin Falls, Ohio 44023, United States","Chagrin Falls, Ohio"
48911,8 individuals Every other week,9/27/2020 12:00:05,-84.54,42.66,"Lansing, Michigan 48911, United States","Lansing, Michigan"
48864,4 individuals Weekly,9/27/2020 12:20:06,-84.46,42.72,"Okemos, Michigan 48864, United States","Okemos, Michigan"
48823,15 individuals monthly,9/27/2020 16:29:28,-84.47,42.73,"East Lansing, Michigan 48823, United States","East Lansing, Michigan"
48808,40 individuals weekly,10/4/2020 14:47:51,-84.47,42.8,"Bath, Michigan 48808, United States","Bath, Michigan"
48823,15 individuals monthly,10/6/2020 17:47:04,-84.47,42.73,"East Lansing, Michigan 48823, United States","East Lansing, Michigan"
45133,2 individuals Monthly,10/8/2020 7:09:43,-83.61,39.2,"Hillsboro, Ohio 45133, United States","Hillsboro, Ohio"
43551,6 individuals Weekly,10/8/2020 9:19:52,-83.6,41.55,"Perrysburg, Ohio 43551, United States","Perrysburg, Ohio"
43420,10 individuals Monthly,10/8/2020 9:22:37,-83.12,41.35,"Fremont, Ohio 43420, United States","Fremont, Ohio"
43230,5 individuals Weekly,10/8/2020 12:22:46,-82.87,40.02,"Columbus, Ohio 43230, United States","Columbus, Ohio"
43230,16 individuals Weekly,10/8/2020 12:25:32,-82.87,40.02,"Columbus, Ohio 43230, United States","Columbus, Ohio"
45619,4 individuals 4-6 weeks,10/9/2020 19:45:03,-82.48,38.42,"Chesapeake, West Virginia 45619, United States","Chesapeake, West Virginia"
44202,5 individuals Daily,10/13/2020 20:46:24,-81.35,41.32,"Aurora, Ohio 44202, United States","Aurora, Ohio"
49855,4 individuals Biweekly,10/14/2020 17:32:43,-87.41,46.56,"Marquette, Michigan 49855, United States","Marquette, Michigan"
47250,3 individuals Biweekly,10/14/2020 17:46:46,-85.38,38.78,"Madison, Indiana 47250, United States","Madison, Indiana"
48197,2 individuals Daily,10/14/2020 20:56:48,-83.62,42.25,"Ypsilanti, Michigan 48197, United States","Ypsilanti, Michigan"
45133,7 individuals Monthly,10/17/2020 17:39:32,-83.61,39.2,"Hillsboro, Ohio 45133, United States","Hillsboro, Ohio"
45322,10 individuals Weekly,10/25/2020 19:59:00,-84.28,39.86,"Englewood, Ohio 45322, United States","Englewood, Ohio"
48827,15 individuals Monthly,10/28/2020 16:28:17,-84.65,42.51,"Eaton Rapids, Michigan 48827, United States","Eaton Rapids, Michigan"
44308,6 individuals Monthly,10/30/2020 12:04:52,-81.52,41.08,"Akron, Ohio 44308, United States","Akron, Ohio"
48911,4 individuals Monthly,10/30/2020 13:01:03,-84.54,42.66,"Lansing, Michigan 48911, United States","Lansing, Michigan"
48108,6 individuals Monthly,10/30/2020 16:17:19,-83.75,42.24,"Ann Arbor, Michigan 48108, United States","Ann Arbor, Michigan"
48104,4 individuals Weekly,10/31/2020 14:01:59,-83.74,42.28,"Ann Arbor, Michigan 48104, United States","Ann Arbor, Michigan"
49071,2 individuals Biweekly,11/1/2020 8:48:48,-85.8,42.21,"Mattawan, Michigan 49071, United States","Mattawan, Michigan"
43725,5 individuals Weekly,11/1/2020 10:52:01,-81.59,40.03,"Cambridge, Ohio 43725, United States","Cambridge, Ohio"
46201,5 individuals Monthly,11/2/2020 14:28:05,-86.13,39.78,"Indianapolis, Indiana 46201, United States","Indianapolis, Indiana"
47404,3 individuals Weekly,11/2/2020 20:03:39,-86.54,39.18,"Bloomington, Indiana 47404, United States","Bloomington, Indiana"
43229,2 individuals Weekly,11/18/2020 11:05:27,-82.99,40.09,"Columbus, Ohio 43229, United States","Columbus, Ohio"
44039,9 individuals Weekly,11/18/2020 11:25:31,-82.02,41.39,"North Ridgeville, Ohio 44039, United States","North Ridgeville, Ohio"
43420,2 individuals Biweekly,12/16/2020 21:39:15,-83.12,41.35,"Fremont, Ohio 43420, United States","Fremont, Ohio"
44857,3 individuals Weekly,12/16/2020 21:51:31,-82.61,41.24,"Norwalk, Ohio 44857, United States","Norwalk, Ohio"
44870,2 individuals Weekly,12/16/2020 22:16:21,-82.68,41.48,"Sandusky, Ohio 44870, United States","Sandusky, Ohio"
44839,2 individuals Weekly,12/16/2020 22:21:45,-82.64,41.38,"Huron, Ohio 44839, United States","Huron, Ohio"
44857,2 individuals Weekly,12/16/2020 22:26:37,-82.61,41.24,"Norwalk, Ohio 44857, United States","Norwalk, Ohio"
44074,8 individuals Weekly,12/17/2020 21:19:24,-82.22,41.29,"Oberlin, Ohio 44074, United States","Oberlin, Ohio"
44074,"4 individuals Prayer ring, probably bimonthly?",12/17/2020 21:20:45,-82.22,41.29,"Oberlin, Ohio 44074, United States","Oberlin, Ohio"
44011,"4 individuals prayer ring, ~bimonthly?",12/17/2020 21:21:30,-82.02,41.46,"Avon, Ohio 44011, United States","Avon, Ohio"
44052,"2 individuals prayer ring, ~bimonthly",12/17/2020 21:22:07,-82.19,41.45,"Lorain, Ohio 44052, United States","Lorain, Ohio"
44039,"2 individuals prayer ring, ~bimonthly",12/17/2020 21:22:35,-82.02,41.39,"North Ridgeville, Ohio 44039, United States","North Ridgeville, Ohio"
44074,"2 individuals prayer ring, ~bimonthly",12/17/2020 21:22:59,-82.22,41.29,"Oberlin, Ohio 44074, United States","Oberlin, Ohio"
